"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"101","","28","Bwambé-Sommet (Est)","BWS","","","","Bwambé/Mpoengu","","","","","","","","","","",""
"102","","29","Abang Minko'o","ABM","","","","Bwambé/Mpoengu","","","","","","","","","","",""
"103","","30","Abang Minko'o","ABM","","","","Bwambé/Mpoengu","","","","","","","","","","",""
"111","1245","31","Mobaka","MKA","87/102","1","","Imbonga","","","","","","","x","","Sangha","",""
"174","1246","32","Mitula","MIT","87/103","1","","Imbonga","","","","","","","xx","","Sangha","",""
"125","455","33","Ngbanja","NGB","85/101","142","","Ngbanja","","","","","","","xx","","Ubangi","",""
"126","","34","Ikenge","IKE","500","1","","Ikenge","x","","wide mouth bottle","ER16","","","x","","Ruki","",""
"134","","35","Ikenge","IKE","500","12","","Ikenge","x","","bowl","ER9","","","x","","Ruki","","Wotzka 1995: 505 Taf. 71.6"
"137","","36","Ikenge","IKE","500","31","","Ikenge","x","","bottle","ER15","","","x","","Ruki","",""
"159","","37","Ekoli-Bokungu","EKB","83/501","1","","Ilemba-Bokonda","x","","","Z16/1","","","x","","Tshuapa","",""
"160","","38","Ekoli-Bokungu","EKB","85/501","4","","Ilemba-Bokonda","x","","bowl","Z16/2","","","","","Tshuapa","",""
"161","","39","Ekoli-Bokungu","EKB","83/501","5","","Ilemba-Bokonda","x","","","ER9","","","","","Tshuapa","",""
"155","","40","Balinga-Bokonda","BBK","85/501","6","","Ilemba-Bokonda","x","","","ER1","","","(x)","","Tshuapa","",""
"165","","41","Liyolongo","LIY","83/501","","","Liyolongo","x","","","Z16/1","","","x","","Busira","",""
"175","","42","Salonga","SNP","03-4","1","","indet","","","W","","","","","30-40 cm","Luilaka","",""
"176","","43","Salonga","SNP","01-7","1","","Bokuma (?)","","","B","","","","xx","60-70 cm","Luilaka","",""
"177","","44","Salonga","SNP","03-7","1","","indet","","","R","","","","o","60-70 cm","Luilaka","",""
"178","","45","Salonga","SNP","03-4","4","","indet","","","W","","","","o","30-40 cm","Luilaka","",""
"179","","46","Salonga","SNP","03-4","5","","indet","","","W","","","","o","30-40 cm","Luilaka","",""
"167","","47","Wafanya","WAF","83/16","-2:1","","Monkoto","","","W","","","","x","","Luilaka","","Wotzka 1995: 504 Pl. 70.10"
"168","","48","Wafanya","WAF","83/16","-2:3","","Bekongo","","","W","","","","(x)","","Luilaka","","Wotzka 1995: 503 Pl. 69.6"
"170","","49","Wafanya","WAF","83/16","-7-1:2","","Longa","","","R","","","","(x)","","Luilaka","","Wotzka 1995: 503 Pl. 69.9"
"171","","50","Monkoto","MON","83/101","1","","Monkoto","","","R","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.5"
"172","","51","Monkoto","MON","83/101","3","","Monkoto","","","B","","","","(x)","","Luilaka","","Wotzka 1995: 506 Pl. 72.6"
